,CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,county_string
0,1001,Alabama,Autauga,55221,26745,28476,2.6,75.8,18.5,0.4,1.0,0.0,40725,51281.0,2391.0,24974,1080,12.9,18.6,33.2,17.0,24.2,8.6,17.1,87.5,8.8,0.1,0.5,1.3,1.8,26.5,23986,73.6,20.9,5.5,0.0,7.6,"Autauga County, Alabama"
1,1003,Alabama,Baldwin,195121,95314,99807,4.5,83.1,9.5,0.6,0.7,0.0,147695,50254.0,1263.0,27317,711,13.4,19.2,33.1,17.7,27.1,10.8,11.2,84.7,8.8,0.1,1.0,1.4,3.9,26.4,85953,81.5,12.3,5.8,0.4,7.5,"Baldwin County, Alabama"
4,1009,Alabama,Blount,57710,28512,29198,8.6,87.9,1.5,0.3,0.1,0.0,42345,45813.0,3141.0,20532,708,16.7,27.2,28.5,14.1,23.9,13.5,19.9,84.9,11.2,0.4,0.9,0.4,2.3,34.9,22189,82.0,13.5,4.2,0.4,7.7,"Blount County, Alabama"
7,1015,Alabama,Calhoun,116648,56274,60374,3.5,73.0,20.3,0.2,0.9,0.0,88612,41703.0,925.0,21374,489,20.5,31.6,27.3,17.7,24.2,10.5,20.4,85.3,9.4,0.2,1.2,1.2,2.7,24.1,47401,74.1,20.8,5.0,0.1,12.3,"Calhoun County, Alabama"
10,1021,Alabama,Chilton,43819,21619,22200,7.6,80.5,10.2,0.4,0.3,0.0,31728,41627.0,2025.0,21399,1446,19.1,30.6,27.2,14.3,23.7,15.3,19.5,81.2,14.2,0.2,1.1,1.4,1.9,32.0,17895,80.3,15.2,4.1,0.5,9.1,"Chilton County, Alabama"
15,1031,Alabama,Coffee,50884,25174,25710,6.4,71.5,17.2,0.8,1.2,0.0,37575,46729.0,2066.0,24936,854,17.1,26.4,32.2,18.6,22.7,12.1,14.5,85.3,9.6,0.1,1.0,1.3,2.8,20.9,20912,70.3,23.5,5.7,0.5,7.1,"Coffee County, Alabama"
16,1033,Alabama,Colbert,54444,26303,28141,2.4,78.9,15.6,0.6,0.3,0.1,42075,40576.0,2536.0,22546,917,17.4,26.1,27.3,15.5,25.7,10.7,20.7,90.7,6.0,0.2,0.9,0.7,1.5,22.8,21290,78.6,16.1,5.2,0.0,9.0,"Colbert County, Alabama"
21,1043,Alabama,Cullman,80965,40081,40884,4.3,92.2,1.1,0.4,0.6,0.0,61222,38971.0,1526.0,20881,727,18.5,25.0,28.5,15.6,23.9,13.9,18.1,84.9,10.0,0.1,1.5,1.0,2.6,26.4,32282,81.6,12.2,5.8,0.4,7.3,"Cullman County, Alabama"
22,1045,Alabama,Dale,49866,24708,25158,6.0,69.8,19.4,0.5,1.2,0.0,37331,45028.0,2413.0,22566,911,19.1,26.2,27.1,17.2,24.8,14.8,16.2,87.4,6.6,0.1,1.6,1.7,2.6,20.4,18735,73.1,20.9,5.9,0.1,10.9,"Dale County, Alabama"
23,1047,Alabama,Dallas,42154,19450,22704,0.3,28.6,69.2,0.2,0.3,0.0,31231,27306.0,2075.0,17808,788,35.0,53.8,26.5,19.5,19.3,10.1,24.5,82.3,11.4,0.3,2.2,1.6,2.2,23.9,14094,76.6,16.7,6.2,0.4,16.4,"Dallas County, Alabama"
24,1049,Alabama,DeKalb,71068,35474,35594,14.0,80.9,1.8,1.1,0.3,0.1,49341,38192.0,1360.0,18411,588,18.7,25.2,24.2,15.7,21.3,12.4,26.4,86.1,10.4,0.0,0.6,0.9,2.1,22.8,27778,78.8,12.6,8.5,0.1,7.7,"DeKalb County, Alabama"
25,1051,Alabama,Elmore,80763,39362,41401,2.8,73.6,21.0,0.2,0.5,0.0,61172,53555.0,1980.0,24381,941,13.6,20.5,33.3,16.0,25.2,9.6,15.9,87.1,9.0,0.1,0.4,1.2,2.2,28.5,33636,70.4,24.1,5.5,0.0,8.3,"Elmore County, Alabama"
27,1055,Alabama,Etowah,103766,50207,53559,3.6,78.5,15.4,0.3,0.7,0.1,78881,39220.0,1976.0,20500,518,19.7,31.7,28.7,18.5,21.3,9.8,21.7,86.2,8.7,0.3,0.4,0.5,3.8,23.4,41236,79.8,14.4,5.6,0.2,9.0,"Etowah County, Alabama"
34,1069,Alabama,Houston,103534,49563,53971,3.2,67.7,26.2,0.3,0.8,0.0,77666,41571.0,863.0,23925,460,18.3,29.9,31.1,18.5,26.1,10.3,14.1,88.6,7.0,0.3,0.7,1.3,2.1,21.4,44067,81.3,13.0,5.5,0.2,8.3,"Houston County, Alabama"
35,1071,Alabama,Jackson,52860,26076,26784,2.7,89.4,3.1,1.1,0.4,0.1,40758,37745.0,1399.0,20066,779,18.0,25.9,25.3,14.1,21.1,13.0,26.6,88.1,7.4,0.1,1.3,0.7,2.4,25.4,20883,75.1,17.1,7.7,0.0,10.1,"Jackson County, Alabama"
36,1073,Alabama,Jefferson,659026,311581,347445,3.8,51.0,42.2,0.2,1.6,0.0,490208,45610.0,910.0,27240,404,18.8,27.8,38.7,17.0,25.2,7.4,11.6,84.9,9.3,0.9,1.3,1.0,2.5,23.6,293202,80.9,14.4,4.6,0.2,9.1,"Jefferson County, Alabama"
38,1077,Alabama,Lauderdale,92737,44419,48318,2.4,84.9,9.9,0.4,0.7,0.0,72671,43125.0,1602.0,24215,786,17.9,25.7,29.5,19.0,24.7,11.0,15.8,86.0,9.0,0.2,1.6,1.0,2.2,24.6,39734,77.3,16.7,5.8,0.2,7.1,"Lauderdale County, Alabama"
40,1081,Alabama,Lee,150982,74277,76705,3.7,68.2,23.0,0.1,3.3,0.0,112580,44570.0,2152.0,24356,772,23.8,24.0,39.7,16.1,22.9,8.3,13.0,84.6,8.0,1.0,2.2,1.0,3.1,21.7,68614,75.5,20.3,4.1,0.1,7.3,"Lee County, Alabama"
41,1083,Alabama,Limestone,88805,44626,44179,5.8,77.4,12.8,0.5,1.2,0.0,66086,49570.0,1409.0,25569,1111,14.3,18.5,34.2,15.2,22.3,12.4,16.0,87.4,8.9,0.3,0.6,0.6,2.1,26.3,37664,77.9,16.4,5.5,0.2,7.8,"Limestone County, Alabama"
