category,Region,price,rating,Income,review_count
American,MW,2,4.5,53577.0,50
American,NE,1,3.0,43644.0,4
American,NE,1,4.0,43644.0,5
American,NE,1,4.5,43644.0,10
American,NE,2,3.5,43644.0,10
American,NE,2,4.0,43644.0,34
American,NE,2,4.0,45535.0,40
American,NE,2,4.5,43644.0,42
American,SE,1,4.0,42258.0,284
American,SE,1,5.0,38012.0,4
American,SE,1,5.0,42258.0,221
American,SE,2,3.5,42258.0,171
American,SE,2,4.0,42258.0,2405
American,SE,2,4.5,42258.0,1032
American,SW,1,3.5,41360.0,37
American,SW,1,4.5,41360.0,11
American,SW,1,4.5,44071.0,73
American,SW,2,3.0,41360.0,6
American,SW,2,4.0,41360.0,29
American,SW,2,4.5,41360.0,31
American,SW,2,4.5,44071.0,5
American,WC,1,2.5,38046.0,2
American,WC,1,3.0,44103.0,69
American,WC,1,4.5,38046.0,2
American,WC,1,4.5,44103.0,17
American,WC,2,4.0,38046.0,45
American,WC,2,4.0,44103.0,305
American,WC,2,4.5,38046.0,31
American,WC,2,4.5,44103.0,447
American,WC,4,3.0,44103.0,2
Chinese,MW,1,2.0,53577.0,7
Chinese,MW,1,3.0,53577.0,16
Chinese,MW,1,3.5,53577.0,16
Chinese,MW,1,4.0,53577.0,148
Chinese,MW,2,3.0,53577.0,5
Chinese,NE,1,3.5,45535.0,9
Chinese,NE,1,4.0,43644.0,7
Chinese,NE,1,4.0,45535.0,14
Chinese,NE,1,4.5,45535.0,6
Chinese,NE,2,5.0,45535.0,6
Chinese,SE,1,2.5,42258.0,26
Chinese,SE,1,3.0,42258.0,103
Chinese,SE,1,3.5,42258.0,59
Chinese,SW,1,4.5,41360.0,3
Chinese,SW,2,4.5,44071.0,34
Chinese,WC,1,2.0,44103.0,2
Chinese,WC,1,2.5,44103.0,72
Chinese,WC,1,3.0,44103.0,288
Chinese,WC,1,3.5,44103.0,87
Chinese,WC,1,4.0,44103.0,387
Chinese,WC,1,4.5,44103.0,40
Chinese,WC,2,2.0,44103.0,142
Chinese,WC,2,2.5,44103.0,157
Chinese,WC,2,3.0,44103.0,295
Chinese,WC,2,3.5,44103.0,180
Chinese,WC,2,4.0,44103.0,361
Chinese,WC,2,5.0,44103.0,75
Indian,WC,2,4.0,44103.0,162
Indian,WC,2,4.5,44103.0,118
Italian,MW,2,3.5,53577.0,128
Italian,MW,2,4.0,53577.0,108
Italian,NE,1,4.0,43644.0,23
Italian,NE,1,5.0,45535.0,3
Italian,NE,2,3.0,43644.0,13
Italian,NE,2,4.0,43644.0,24
Italian,NE,2,4.0,45535.0,119
Italian,NE,2,4.5,43644.0,19
Italian,NE,2,4.5,45535.0,107
Italian,SE,2,3.0,42258.0,90
Italian,SE,2,3.5,42258.0,287
Italian,SE,2,4.0,42258.0,146
Italian,SE,2,4.5,42258.0,154
Italian,SE,2,5.0,42258.0,20
Italian,SW,1,4.5,44071.0,18
Italian,WC,1,3.5,44103.0,102
Italian,WC,1,4.0,44103.0,178
Italian,WC,1,4.5,44103.0,38
Italian,WC,2,2.5,44103.0,35
Italian,WC,2,3.0,38046.0,5
Italian,WC,2,3.0,44103.0,313
Italian,WC,2,3.5,44103.0,227
Italian,WC,2,4.0,44103.0,651
Italian,WC,2,4.5,44103.0,459
Italian,WC,3,4.0,44103.0,103
Mexican,MW,1,4.0,45159.0,1
Mexican,MW,1,4.5,53577.0,20
Mexican,MW,2,3.5,53577.0,132
Mexican,MW,2,4.5,53577.0,195
Mexican,NE,2,2.5,45535.0,19
Mexican,NE,2,4.5,45535.0,16
Mexican,SE,1,4.0,42258.0,112
Mexican,SE,1,4.5,42258.0,56
Mexican,SE,2,4.0,42258.0,118
Mexican,SE,2,4.5,42258.0,78
Mexican,SW,1,4.5,44071.0,11
Mexican,SW,1,5.0,41360.0,3
Mexican,SW,2,2.5,41360.0,11
Mexican,SW,2,3.0,41360.0,5
Mexican,WC,1,4.0,44103.0,420
Mexican,WC,1,4.5,38046.0,4
Mexican,WC,1,4.5,44103.0,529
Mexican,WC,2,4.0,44103.0,284
Mexican,WC,2,4.5,44103.0,162
