,name,zipcode,county_string,rating,review_count,category,price
0,Figaro's Pizza,97845,"Grant County, Oregon",3.0,5,Italian,$$
1,El Cocinero,97869,"Grant County, Oregon",4.5,4,Mexican,$
2,1080 Pub,97845,"Grant County, Oregon",4.5,2,American,$
3,"The Outpost Pizza, Pub, & Grill",97845,"Grant County, Oregon",4.5,18,American,$$
4,Squeeze-In Restaurant & Deck,97845,"Grant County, Oregon",4.0,37,American,$$
5,Chuck's Little Diner,97869,"Grant County, Oregon",4.5,13,American,$$
6,Oxbow Restaurant and Saloon,97869,"Grant County, Oregon",4.0,8,American,$$
7,Bear Valley Roadhouse,97873,"Grant County, Oregon",2.5,2,American,$
8,Beppe & Gianni's Trattoria,97403,"Lane County, Oregon",4.0,319,Italian,$$
9,Cioppino House,97455,"Lane County, Oregon",4.5,43,Italian,$$
10,Placido's Pasta Shop,97401,"Lane County, Oregon",4.5,234,Italian,$$
11,Finni's Fine Foods,97402,"Lane County, Oregon",4.5,38,Italian,$
12,Mazzi's,97405,"Lane County, Oregon",3.0,165,Italian,$$
13,Pastini,97401,"Lane County, Oregon",3.5,90,Italian,$$
14,Ambrosia Restaurant & Bar,97401,"Lane County, Oregon",3.5,137,Italian,$$
15,Ciao Pizza,97477,"Lane County, Oregon",4.0,164,Italian,$$
16,Excelsior Inn & Ristorante Italiano,97401,"Lane County, Oregon",4.0,103,Italian,$$$
17,Rye,97401,"Lane County, Oregon",4.0,161,Italian,$$
18,Perugino,97401,"Lane County, Oregon",4.0,92,Italian,$
19,Olive Garden Italian Restaurant,97401,"Lane County, Oregon",3.0,126,Italian,$$
20,Coburg Pizza Company Centennial,97477,"Lane County, Oregon",4.5,86,Italian,$$
21,Coburg Pizza Company,97408,"Lane County, Oregon",4.5,96,Italian,$$
22,Amici Restaurant & Bar,97477,"Lane County, Oregon",2.5,25,Italian,$$
23,Figaro's Pizza,97426,"Lane County, Oregon",4.0,17,Italian,$
24,Mezza Luna Pizzeria,97408,"Lane County, Oregon",4.0,69,Italian,$
25,Papa's Pizza Parlor,97478,"Lane County, Oregon",3.0,17,Italian,$$
