,name,zipcode,county_string,rating,review_count,category,price
0,Montecatini Ristorante,94596,"Contra Costa County, California",4.0,442,Italian,$$
1,Gianni's Italian Bistro,94583,"Contra Costa County, California",4.5,313,Italian,$$
2,Luna Ristorante,94520,"Contra Costa County, California",4.0,462,Italian,$$
3,Locanda Ravello,94526,"Contra Costa County, California",4.0,360,Italian,$$
4,Bella Ristorante Italian Cuisine,94521,"Contra Costa County, California",4.0,218,Italian,$$
5,Forli Restaurant & Bar,94507,"Contra Costa County, California",4.5,56,Italian,$$
6,Fiore Restaurant,94521,"Contra Costa County, California",4.0,321,Italian,$$
7,54 Mint Forno Italiano,94596,"Contra Costa County, California",4.5,420,Italian,$$
8,Primavera Ristorante,94583,"Contra Costa County, California",4.0,329,Italian,$$
9,Benvenuti Ristorante,94596,"Contra Costa County, California",4.0,57,Italian,$$
10,La Veranda Ristorante Italiano,94565,"Contra Costa County, California",4.0,225,Italian,$$
11,Tullio's Italian Restaurant,94597,"Contra Costa County, California",4.0,385,Italian,$$
12,Prima Ristorante,94596,"Contra Costa County, California",4.0,504,Italian,$$$
13,Buon Appetito,94561,"Contra Costa County, California",3.5,93,Italian,$$
14,Mangia Mi,94526,"Contra Costa County, California",4.0,370,Italian,$$
15,Famiglia Italian Restaurant,94564,"Contra Costa County, California",4.0,151,Italian,$$
16,Piatti Ristorante & Bar,94526,"Contra Costa County, California",4.0,645,Italian,$$
17,Postino Restaurant,94549,"Contra Costa County, California",4.0,594,Italian,$$$
18,Chiantis,94513,"Contra Costa County, California",3.5,167,Italian,$$
19,Incontro Ristorante,94526,"Contra Costa County, California",4.0,333,Italian,$$
20,Locanda Positano,94549,"Contra Costa County, California",3.5,20,Italian,$$
21,Massimo Ristorante,94596,"Contra Costa County, California",4.0,227,Italian,$$$
22,Pasta Bella Ristorante,94553,"Contra Costa County, California",4.0,111,Italian,$$
23,Il Fornaio,94596,"Contra Costa County, California",3.0,696,Italian,$$
24,Melo's Pizza & Pasta,94523,"Contra Costa County, California",4.0,522,Italian,$$
25,WiseGirl Ristorante Italiano & Cocktails,94523,"Contra Costa County, California",4.0,97,Italian,$$
26,La Strada,94806,"Contra Costa County, California",4.0,269,Italian,$$
27,La Veranda Cafe,94517,"Contra Costa County, California",4.0,118,Italian,$$
28,Melo's Pizza & Pasta,94526,"Contra Costa County, California",4.5,143,Italian,$$
29,Ristorante Due Rose,94564,"Contra Costa County, California",3.5,263,Italian,$$
30,Taverna Pellegrini,94563,"Contra Costa County, California",4.0,90,Italian,$$
31,Great Impasta,94526,"Contra Costa County, California",4.0,172,Italian,$$
32,Pasta Primavera Walnut Creek,94597,"Contra Costa County, California",3.5,309,Italian,$$
33,Mangia Bene Restaurant,94553,"Contra Costa County, California",3.5,182,Italian,$$
34,Tomatina,94596,"Contra Costa County, California",3.5,806,Italian,$$
35,Ristorante Amoroma,94556,"Contra Costa County, California",4.0,109,Italian,$$
36,Sorrento Italian Restaurant & Pizza,94598,"Contra Costa County, California",3.5,247,Italian,$$
37,Il Pavone,94595,"Contra Costa County, California",3.5,121,Italian,$$
38,Rocco's Ristorante Pizzeria,94598,"Contra Costa County, California",3.5,888,Italian,$$
39,Pasta Primavera Cafe,94521,"Contra Costa County, California",3.5,88,Italian,$$
40,The Old Spaghetti Factory,94520,"Contra Costa County, California",3.0,471,Italian,$$
41,Bambino's,94519,"Contra Costa County, California",4.0,184,Italian,$$
42,Mazar Market & Grill,94521,"Contra Costa County, California",4.5,49,Italian,$$
43,Stella's Ristorante,94506,"Contra Costa County, California",3.5,56,Italian,$$
44,El Chalán Restaurant,94803,"Contra Costa County, California",4.0,135,Italian,$$
45,Ristorante Mediterranean,94523,"Contra Costa County, California",4.0,147,Italian,$$
46,Salute E Vita Ristorante,94804,"Contra Costa County, California",3.5,383,Italian,$$
47,Zio Fraedo's,94523,"Contra Costa County, California",3.5,201,Italian,$$
48,Piccolo Napoli,94563,"Contra Costa County, California",4.0,132,Italian,$$
49,Zio's Pasta Pronto,94564,"Contra Costa County, California",4.0,107,Italian,$$
50,Canesa's Brooklyn Heros,94517,"Contra Costa County, California",4.5,191,Italian,$
51,Vino Restaurant,94549,"Contra Costa County, California",3.5,103,Italian,$$
